time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
10.1322,49330.0,2161377.0,1.12645662,1.07449996,0.05195661,0.00923947,1.72454047,0.49656934,0.41470656,38.97,45.66,4868.6,3895.8
9.9792,47717.0,2209094.0,1.11496413,1.06296504,0.05199910,0.00678204,1.68302321,0.47598886,0.76237899,38.81,45.66,4781.7,3911.4
9.9212,45529.0,2254623.0,1.10507894,1.05339992,0.05167911,0.00767864,1.64033103,0.45339322,0.65864277,38.59,45.66,4589.1,3919.9
10.1661,63334.0,2317957.0,1.12448215,1.07314992,0.05133229,0.00786681,1.63165951,0.47068208,0.51612842,40.39,45.86,6229.9,3960.0
9.8548,45706.0,2363663.0,1.09603691,1.04418719,0.05184969,0.00774072,1.61068821,0.45677987,0.53284436,38.60,45.86,4637.9,3971.2
9.7373,53412.0,2417075.0,1.10541415,1.05413353,0.05128055,0.00905565,1.52605140,0.40128848,0.56128550,39.39,45.86,5485.3,3995.6
10.2166,45465.0,2462540.0,1.07837236,1.02708042,0.05129196,0.00683422,1.50861013,0.45499465,0.49059513,38.58,45.86,4450.1,4003.1
10.0922,33599.0,2496139.0,1.11568141,1.06459332,0.05108815,0.00816594,1.43556881,0.50032157,0.46416861,38.31,45.86,3329.2,3992.2
10.1244,35537.0,2531676.0,1.09161735,1.04051101,0.05110639,0.01083135,1.39621878,0.47502467,0.44624659,38.31,45.86,3510.0,3984.5
10.0132,53238.0,2584914.0,1.10793555,1.05741501,0.05052060,0.01002825,1.32480669,0.44982401,0.44833460,39.37,45.86,5316.8,4005.1
10.0501,33597.0,2618511.0,1.11557138,1.06479943,0.05077184,0.00932927,1.37102592,0.50032002,0.33029240,38.31,45.86,3343.0,3995.0
9.9882,64337.0,2682848.0,1.10140634,1.05100822,0.05039808,0.00901018,1.35170150,0.43202958,0.39531565,40.50,45.96,6441.3,4031.7
9.9302,33600.0,2716448.0,1.11356914,1.06328022,0.05028877,0.00871158,1.25131941,0.50032234,0.40810290,38.31,45.96,3383.6,4022.1
10.1405,49455.0,2765903.0,1.11200821,1.06190312,0.05010507,0.00771982,1.27500069,0.49865466,0.46671444,38.99,45.96,4877.0,4034.7
9.9268,33598.0,2799501.0,1.10176885,1.05146313,0.05030572,0.00677245,1.12543797,0.50032079,0.59781843,38.31,45.96,3384.6,4025.4
10.1197,49268.0,2848769.0,1.11232483,1.06240475,0.04991991,0.00803320,1.23969793,0.49566287,0.66833699,38.97,45.96,4868.5,4037.5
9.7321,55707.0,2904476.0,1.10029745,1.05041397,0.04988366,0.00792317,1.23712921,0.41300860,0.73693329,39.62,45.96,5724.1,4060.4
9.7089,41513.0,2945989.0,1.08551013,1.03567398,0.04983618,0.00984611,1.14060009,0.44096884,0.63255924,38.31,45.96,4275.8,4063.3
9.8608,45946.0,2991935.0,1.08029854,1.03041255,0.04988613,0.01046434,1.16457272,0.45870242,0.46862373,38.63,45.96,4659.5,4071.3
10.1062,62697.0,3054632.0,1.10047257,1.05099726,0.04947532,0.00764011,1.08028781,0.46196589,0.53806639,40.33,45.96,6203.8,4100.2
9.7414,40421.0,3095053.0,1.09174371,1.04218328,0.04956048,0.00715800,1.09179115,0.44222486,0.47711432,38.31,45.96,4149.4,4100.8
9.9143,33600.0,3128653.0,1.08768046,1.03818417,0.04949626,0.00636471,1.10089767,0.50032234,0.42602816,38.31,45.96,3389.1,4091.6
9.9312,33597.0,3162250.0,1.10082805,1.05144882,0.04937924,0.00919400,0.98518157,0.50032002,0.52527946,38.31,45.96,3383.0,4082.4
10.2100,47254.0,3209504.0,1.09982371,1.05059290,0.04923076,0.00655264,0.99517751,0.47089979,0.37684202,38.76,45.96,4628.2,4089.5
9.8827,59425.0,3268929.0,1.08550525,1.03639042,0.04911479,0.00816355,0.97424716,0.43321198,0.45969740,40.00,45.96,6013.0,4113.4
9.9309,33599.0,3302528.0,1.08746624,1.03824627,0.04921981,0.00602809,0.93578386,0.50032157,0.36871803,38.31,45.96,3383.3,4104.4
9.8781,46446.0,3348974.0,1.08134162,1.03216374,0.04917772,0.00813340,0.91031426,0.46298251,0.43169826,38.68,45.96,4701.9,4111.6
9.6701,38671.0,3387645.0,1.10219288,1.05321109,0.04898187,0.00713187,0.84457338,0.44886962,0.37317210,38.31,45.96,3999.0,4110.3
9.9174,33600.0,3421245.0,1.09446311,1.04548359,0.04897949,0.00768444,0.84386873,0.50032234,0.35037002,38.31,45.96,3388.0,4101.7
9.7250,42847.0,3464092.0,1.08921790,1.04038799,0.04883002,0.00708603,0.88818902,0.44244853,0.43292701,38.32,45.96,4405.8,4105.2
10.0605,48889.0,3512981.0,1.09747267,1.04873741,0.04873522,0.00715356,0.78792036,0.49065548,0.43786201,38.93,45.96,4859.5,4114.0
10.0090,52547.0,3565528.0,1.10856807,1.05989408,0.04867398,0.00946235,0.80319726,0.46342015,0.58971971,39.30,45.96,5250.0,4127.2
