time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
8.4021,33597.0,3162250.0,1.10661185,1.05765772,0.04895416,0.00926029,0.79504269,0.50032002,0.69284219,34.53,40.94,3998.7,4417.3
8.3935,47254.0,3209504.0,1.10211110,1.05326891,0.04884217,0.00656196,0.76704967,0.47089979,0.62369269,35.89,40.94,5629.9,4431.3
8.3251,59425.0,3268929.0,1.09245360,1.04365492,0.04879870,0.00821876,0.75284398,0.43321198,0.58938015,37.12,40.94,7138.1,4462.0
8.3840,33599.0,3302528.0,1.09453726,1.04567993,0.04885742,0.00609608,0.71284378,0.50032157,0.54704368,34.53,40.94,4007.5,4456.9
8.3281,46446.0,3348974.0,1.08528972,1.03645241,0.04883736,0.00816738,0.71055287,0.46298251,0.60613042,35.81,40.94,5577.0,4469.3
8.1916,38671.0,3387645.0,1.10677862,1.05815136,0.04862729,0.00714494,0.68886817,0.44886962,0.45937252,35.03,40.94,4720.8,4472.0
8.3953,33600.0,3421245.0,1.09835184,1.04975116,0.04860071,0.00773178,0.68792832,0.50032234,0.44903582,34.53,40.94,4002.2,4466.8
8.2026,42847.0,3464092.0,1.09104669,1.04255819,0.04848852,0.00710217,0.69895172,0.44244853,0.39605939,35.44,40.94,5223.6,4474.8
8.5321,48889.0,3512981.0,1.09947252,1.05105102,0.04842150,0.00718026,0.61039793,0.49065548,0.45844463,36.05,40.94,5730.0,4488.5
8.4722,52547.0,3565528.0,1.10789084,1.05957496,0.04831588,0.00948128,0.63340330,0.46342015,0.39782625,36.43,40.94,6202.3,4506.8
8.1711,42473.0,3608001.0,1.07034910,1.02185476,0.04849434,0.00567622,0.58825970,0.44169930,0.42609784,35.41,40.94,5198.0,4513.9
8.2186,43548.0,3651549.0,1.07994306,1.03156841,0.04837463,0.00938347,0.56958055,0.44458020,0.46742761,35.51,40.94,5298.7,4521.8
